H,Q1,Q2,Q3,Q4,V,Q1,Q2,Q3,Q4
BOS,20,14,19,16,CLE,19,12,13,17
CHI,19,14,22,20,MIL,25,18,19,18
LAL,21,25,14,21,POR,14,16,19,19
ORL,8,24,12,24,ATL,23,19,23,16
UTA,28,17,21,10,DEN,18,18,16,24
DET,23,23,23,17,IND,16,14,18,22
LAC,24,11,13,17,LAL,25,27,17,23
HOU,22,13,12,14,MEM,18,16,18,10
NYK,25,24,28,16,MIA,20,10,24,36
OKC,8,14,20,23,MIL,21,16,25,15
WAS,17,22,15,11,NJN,17,19,22,22
GSW,27,18,25,11,NOH,26,24,22,17
SAS,16,28,23,18,PHX,16,20,23,25
MIN,31,22,17,17,SAC,26,15,24,12
PHI,19,19,12,13,TOR,17,30,18,17
CLE,21,23,10,23,CHA,13,13,17,10
PHX,21,14,22,24,NOH,27,19,22,19
BOS,18,20,15,13,CHI,9,12,14,17
PHI,28,27,29,22,NYK,23,20,17,11
MEM,17,12,15,18,ORL,23,23,11,11
MIA,17,26,21,20,SAC,11,12,14,23
POR,21,21,25,15,SAS,16,21,23,25
IND,23,12,13,24,BOS,14,18,14,12
NOH,15,24,17,23,CLE,26,19,20,16
MIN,15,22,12,14,DAL,25,20,13,21
NJN,16,20,17,23,GSW,18,20,24,9
UTA,20,22,23,23,LAC,20,19,7,15
DEN,14,24,22,16,LAL,18,17,22,15
CHI,15,20,25,12,MEM,15,29,9,14
CHA,21,24,15,19,MIA,14,21,18,16
ATL,18,23,20,25,PHI,31,23,11,11
PHX,28,14,24,16,POR,19,27,19,18
ORL,23,24,19,30,SAC,23,15,22,23
MIL,18,16,19,22,TOR,20,12,23,13
DET,25,17,24,24,WAS,13,30,20,23
NYK,17,19,13,23,MIL,22,21,21,12
OKC,18,18,21,18,MIN,18,21,22,8
ORL,25,16,21,13,CHI,19,23,20,19
DAL,13,22,18,8,CLE,22,18,14,21
CHA,8,23,13,11,DET,22,20,28,22
MEM,22,18,20,16,GSW,20,19,19,11
PHI,24,31,14,31,SAC,19,21,14,22
LAC,20,15,24,5,UTA,14,12,22,16
HOU,20,23,19,13,BOS,26,18,22,17
SAS,14,17,17,19,DAL,23,29,21,20
NJN,14,24,18,7,PHX,25,28,26,19
NOH,14,19,22,12,ATL,24,20,9,27
OKC,24,10,11,23,BOS,18,19,18,24
CLE,22,18,21,18,CHI,19,19,19,13
GSW,27,20,19,20,DEN,30,16,18,16
TOR,17,18,21,18,DET,18,27,21,15
LAL,21,14,22,17,LAC,29,16,15,18
SAC,22,22,25,15,MEM,12,22,18,21
MIA,19,27,14,24,PHI,16,13,19,11
IND,33,26,12,12,PHX,22,27,26,16
UTA,20,22,27,13,POR,21,23,19,11
ORL,25,21,17,20,PHI,14,21,23,19
DEN,16,18,25,12,DAL,20,19,23,29
NJN,12,22,16,23,DET,21,10,16,19
LAC,16,18,25,16,HOU,23,18,16,17
CLE,14,19,26,28,IND,29,19,22,26
GSW,23,14,22,15,MEM,26,13,27,21
SAS,11,18,20,26,MIA,24,18,17,20
BOS,21,27,14,18,MIL,26,11,18,13
SAC,30,21,23,25,MIN,21,21,17,21
CHA,23,10,13,17,NOH,20,6,23,26
WAS,26,26,27,18,NYK,29,30,24,22
UTA,25,21,15,17,OKC,8,9,26,32
CHI,16,20,31,19,PHX,13,8,18,21
ATL,30,29,15,26,TOR,23,19,14,18
CHI,21,22,19,15,CLE,28,18,16,20
NOH,23,19,15,21,MIA,16,9,27,18
POR,13,20,22,20,MIN,20,23,12,20
IND,27,17,19,20,NJN,26,21,9,8
MIL,17,21,20,21,PHX,17,13,16,14
ORL,25,28,18,15,WAS,19,14,16,19
OKC,12,25,19,14,ATL,19,12,16,18
DET,14,6,16,21,BOS,12,22,19,17
LAC,20,21,24,20,DAL,21,17,16,21
LAL,10,26,22,35,HOU,25,17,14,13
DEN,17,23,14,16,MEM,29,11,8,11
CHA,13,22,21,9,TOR,18,12,20,24
NYK,23,14,21,25,UTA,28,22,15,20
PHX,18,23,26,15,MEM,18,16,20,26
MIA,17,16,15,25,NJN,15,18,23,23
IND,18,20,25,23,OKC,28,13,22,14
ORL,17,22,13,19,POR,30,18,10,21
BOS,11,14,19,26,TOR,21,17,16,20
CHI,19,27,20,24,ATL,20,24,22,19
CHA,21,19,13,16,DEN,16,19,21,12
SAC,28,17,22,15,DET,15,22,18,15
DAL,26,20,18,14,LAL,22,24,19,21
CLE,16,17,22,18,MIL,13,11,27,16
SAS,19,16,25,20,NYK,20,14,20,15
PHI,16,13,23,8,UTA,24,23,13,20
BOS,18,18,16,17,ATL,26,11,17,21
NJN,22,17,13,24,IND,28,13,17,18
MEM,21,19,24,21,NYK,23,33,32,35
OKC,18,16,27,10,ORL,34,24,13,18
TOR,12,24,18,19,PHI,21,23,24,24
MIA,18,18,23,18,POR,26,17,13,25
LAC,11,23,20,24,SAC,27,21,23,18
MIL,14,15,17,18,SAS,17,23,16,15
WAS,19,19,8,17,UTA,24,11,19,19
CHI,15,22,18,18,DAL,23,15,19,11
CLE,31,25,27,17,DEN,33,16,13,16
GSW,21,20,10,24,DET,17,20,29,18
NJN,20,18,15,30,ATL,21,25,19,26
BOS,26,10,14,18,DEN,22,23,13,25
LAL,14,25,18,27,DET,23,27,20,7
SAS,17,19,13,18,HOU,22,17,16,11
NYK,31,25,21,10,OKC,18,21,26,24
DAL,18,31,19,13,ORL,15,24,18,18
IND,38,16,18,10,PHI,10,24,19,19
NOH,21,17,16,13,POR,17,23,17,10
CHA,14,22,23,14,UTA,21,15,22,19
MIA,23,20,23,21,WAS,17,14,14,22
LAC,25,15,25,13,GSW,33,17,30,23
CHI,21,18,21,19,IND,16,22,22,14
ATL,18,20,22,19,NJN,22,18,30,18
HOU,21,16,17,4,NOH,17,11,12,4
PHI,20,17,31,28,OKC,21,18,12,19
MIN,21,21,18,10,POR,27,10,17,21
PHX,28,27,13,20,DET,22,16,16,15
TOR,25,17,22,14,MIA,26,20,22,14
DEN,21,12,18,15,MIN,13,19,20,14
CHA,16,20,16,15,ORL,15,14,25,17
SAC,21,13,27,11,SAS,13,27,18,19
OKC,28,17,12,14,HOU,25,22,24,14
UTA,21,20,20,22,PHX,26,16,18,17
LAC,20,14,23,18,SAS,21,18,25,16
IND,31,27,19,19,ATL,25,17,15,22
LAL,22,29,22,24,CHI,25,19,16,25
NJN,21,15,12,12,CLE,22,14,20,20
CHA,10,21,18,14,DAL,28,18,12,22
WAS,13,20,16,15,MIA,22,19,26,14
DEN,19,23,18,14,MIL,21,20,19,26
BOS,19,29,27,4,NYK,27,14,23,8
GSW,19,23,24,10,POR,25,16,14,21
MEM,28,26,21,13,SAC,20,17,19,19
ORL,19,23,15,28,TOR,22,16,18,16
POR,30,14,22,25,CHI,10,19,15,14
HOU,23,15,4,22,DAL,26,21,13,16
SAS,17,12,10,21,DEN,18,20,16,12
OKC,24,18,10,13,LAC,17,24,30,26
UTA,21,21,16,19,MIL,16,25,19,18
MIN,19,25,19,17,PHI,23,24,12,22
NOH,26,22,18,16,SAC,19,24,26,20
MIA,20,17,21,27,TOR,19,20,26,20
ATL,23,16,20,15,WAS,23,22,15,18
BOS,21,20,19,19,DET,17,16,13,17
PHX,23,17,19,23,LAL,22,22,28,22
MIN,17,8,4,26,BOS,21,12,29,16
ATL,12,23,12,21,CHA,19,18,18,18
GSW,24,25,25,16,CHI,25,28,23,24
LAL,31,29,18,10,DEN,16,26,16,19
WAS,24,15,20,14,HOU,11,23,14,32
PHI,22,16,19,13,LAC,16,26,18,12
DAL,19,13,22,14,MEM,20,17,12,15
OKC,14,10,12,19,NOH,20,29,20,19
MIL,24,19,22,23,NYK,15,20,9,25
SAC,22,21,18,23,POR,24,28,31,21
SAS,27,23,28,21,UTA,24,16,16,18
CLE,24,20,19,26,ATL,9,19,21,30
